TRIREDRAFT_102382	K01069
TRIREDRAFT_103712	K14688
TRIREDRAFT_103745	K16578
TRIREDRAFT_103756	K08675
TRIREDRAFT_103761	K24927
TRIREDRAFT_103850	K03842
TRIREDRAFT_103853	K15109
TRIREDRAFT_103865	K18174
TRIREDRAFT_103937	K11497
TRIREDRAFT_103951	K06997
TRIREDRAFT_103960	K11206
TRIREDRAFT_103993	K18327
TRIREDRAFT_103995	K09704
TRIREDRAFT_104000	K10627
TRIREDRAFT_104004	K03138
TRIREDRAFT_104015	K03016
TRIREDRAFT_104016	K11375
TRIREDRAFT_104077	K19564
TRIREDRAFT_104106	K05863
TRIREDRAFT_104121	K03845
TRIREDRAFT_104132	K14721
TRIREDRAFT_104135	K03671
TRIREDRAFT_104140	K23146
TRIREDRAFT_104152	K02143
TRIREDRAFT_104156	K11271
TRIREDRAFT_104159	K13728
TRIREDRAFT_104161	K20224
TRIREDRAFT_104211	K09568
TRIREDRAFT_104230	K21989
TRIREDRAFT_104288	K06910
TRIREDRAFT_104318	K01673
TRIREDRAFT_104322	K08192
TRIREDRAFT_104364	K04409
TRIREDRAFT_104390	K00799
TRIREDRAFT_104400	K13617
TRIREDRAFT_104438	K00102
TRIREDRAFT_104451	K11369
TRIREDRAFT_104474	K11498
TRIREDRAFT_104490	K08495
TRIREDRAFT_104491	K02918
TRIREDRAFT_104495	K12811
TRIREDRAFT_104535	K11135
TRIREDRAFT_104541	K11344
TRIREDRAFT_104547	K12590
TRIREDRAFT_104595	K12845
TRIREDRAFT_104599	K18102
TRIREDRAFT_104601	K20100
TRIREDRAFT_104606	K11173
TRIREDRAFT_104609	K06127
TRIREDRAFT_104639	K20361
TRIREDRAFT_104659	K18803
TRIREDRAFT_104664	K01238
TRIREDRAFT_104683	K02603
TRIREDRAFT_104704	K02886
TRIREDRAFT_104707	K12880
TRIREDRAFT_104744	K18183
TRIREDRAFT_104790	K10389
TRIREDRAFT_104797	K05349
TRIREDRAFT_104803	K13566
TRIREDRAFT_104842	K07127
TRIREDRAFT_104879	K22644
TRIREDRAFT_104890	K01101
TRIREDRAFT_104942	K10768
TRIREDRAFT_104958	K15565
TRIREDRAFT_104972	K21456
TRIREDRAFT_105011	K01814
TRIREDRAFT_105019	K09537
TRIREDRAFT_105035	K10258
TRIREDRAFT_105055	K10703
TRIREDRAFT_105081	K23905
TRIREDRAFT_105189	K02739
TRIREDRAFT_105190	K18715
TRIREDRAFT_105191	K03027
TRIREDRAFT_105192	K10686
TRIREDRAFT_105202	K05758
TRIREDRAFT_105238	K06912
TRIREDRAFT_105279	K05994
TRIREDRAFT_105282	K15303
TRIREDRAFT_105307	K02990
TRIREDRAFT_105351	K10599
TRIREDRAFT_105409	K19841
TRIREDRAFT_105447	K01673
TRIREDRAFT_105479	K02871
TRIREDRAFT_105504	K01077
TRIREDRAFT_105518	K05389
TRIREDRAFT_105535	K26159
TRIREDRAFT_105557	K05531
TRIREDRAFT_105589	K22255
TRIREDRAFT_105593	K17438
TRIREDRAFT_105623	K02136
TRIREDRAFT_105636	K15443
TRIREDRAFT_105647	K14822
TRIREDRAFT_105692	K26797
TRIREDRAFT_105722	K01673
TRIREDRAFT_105771	K18064
TRIREDRAFT_105787	K23319
TRIREDRAFT_105832	K11808
TRIREDRAFT_105834	K09242
TRIREDRAFT_105884	K17644
TRIREDRAFT_105891	K13137
TRIREDRAFT_105931	K12373
TRIREDRAFT_105938	K12872
TRIREDRAFT_105956	K01176
TRIREDRAFT_105978	K00838
TRIREDRAFT_106014	K17918
TRIREDRAFT_106018	K24127
TRIREDRAFT_106037	K15163
TRIREDRAFT_106039	K02979
TRIREDRAFT_106067	K04078
TRIREDRAFT_106081	K28035
TRIREDRAFT_106113	K17267
TRIREDRAFT_106145	K14998
TRIREDRAFT_106147	K22758
TRIREDRAFT_106148	K12592
TRIREDRAFT_106150	K18586
TRIREDRAFT_106155	K27349
TRIREDRAFT_106205	K11870
TRIREDRAFT_106234	K24195
TRIREDRAFT_106237	K10750
TRIREDRAFT_106245	K03781
TRIREDRAFT_106250	K18802
TRIREDRAFT_106276	K15463
TRIREDRAFT_106297	K14429
TRIREDRAFT_106309	K12846
TRIREDRAFT_106331	K20306
TRIREDRAFT_106471	K21642
TRIREDRAFT_106473	K03131
TRIREDRAFT_106531	K16185
TRIREDRAFT_106533	K20363
TRIREDRAFT_106556	K08139
TRIREDRAFT_106595	K03106
TRIREDRAFT_106603	K06682
TRIREDRAFT_106640	K02520
TRIREDRAFT_106646	K18660
TRIREDRAFT_106680	K11130
TRIREDRAFT_106695	K00387
TRIREDRAFT_106730	K15305
TRIREDRAFT_106761	K17907
TRIREDRAFT_106769	K22804
TRIREDRAFT_106797	K14570
TRIREDRAFT_106801	K10301
TRIREDRAFT_106828	K09131
TRIREDRAFT_106885	K00249
TRIREDRAFT_106928	K01539
TRIREDRAFT_106962	K12614
TRIREDRAFT_107045	K13108
TRIREDRAFT_107058	K14860
TRIREDRAFT_107068	K11593
TRIREDRAFT_107082	K15561
TRIREDRAFT_107123	K17805
TRIREDRAFT_107124	K27817
TRIREDRAFT_107142	K19305
TRIREDRAFT_107206	K00988
TRIREDRAFT_107239	K10436
TRIREDRAFT_107255	K07943
TRIREDRAFT_107258	K13509
TRIREDRAFT_107268	K01070
TRIREDRAFT_107323	K04708
TRIREDRAFT_107325	K17784
TRIREDRAFT_107335	K14815
TRIREDRAFT_107360	K00472
TRIREDRAFT_107383	K02516
TRIREDRAFT_107385	K12820
TRIREDRAFT_107402	K00942
TRIREDRAFT_107420	K15360
TRIREDRAFT_107479	K14709
TRIREDRAFT_107552	K11559
TRIREDRAFT_107554	K00799
TRIREDRAFT_107564	K14324
TRIREDRAFT_107567	K11664
TRIREDRAFT_107591	K14532
TRIREDRAFT_107601	K17780
TRIREDRAFT_107616	K02307
TRIREDRAFT_107680	K01669
TRIREDRAFT_107776	K17743
TRIREDRAFT_107781	K24364
TRIREDRAFT_107784	K02882
TRIREDRAFT_107805	K03511
TRIREDRAFT_107852	K13953
TRIREDRAFT_108012	K01276
TRIREDRAFT_108066	K03123
TRIREDRAFT_108069	K05012
TRIREDRAFT_108081	K11557
TRIREDRAFT_108082	K17969
TRIREDRAFT_108090	K12623
TRIREDRAFT_108158	K23309
TRIREDRAFT_108180	K12737
TRIREDRAFT_108183	K12734
TRIREDRAFT_108208	K22485
TRIREDRAFT_108216	K13577
TRIREDRAFT_108271	K18633
TRIREDRAFT_108299	K14264
TRIREDRAFT_108332	K14856
TRIREDRAFT_108398	K00794
TRIREDRAFT_108409	K14847
TRIREDRAFT_108421	K02326
TRIREDRAFT_108459	K01955
TRIREDRAFT_108463	K02510
TRIREDRAFT_108479	K18599
TRIREDRAFT_108481	K18167
TRIREDRAFT_108519	K10577
TRIREDRAFT_108533	K11272
TRIREDRAFT_108548	K12597
TRIREDRAFT_108555	K17278
TRIREDRAFT_108592	K01254
TRIREDRAFT_108640	K17600
TRIREDRAFT_108665	K13800
TRIREDRAFT_108706	K12183
TRIREDRAFT_108710	K02152
TRIREDRAFT_108732	K00253
TRIREDRAFT_108775	K09448
TRIREDRAFT_108827	K15544
TRIREDRAFT_108835	K00863
TRIREDRAFT_108840	K11563
TRIREDRAFT_108894	K27411
TRIREDRAFT_108914	K13621
TRIREDRAFT_108920	K00344
TRIREDRAFT_108950	K03128
TRIREDRAFT_109015	K05544
TRIREDRAFT_109022	K03363
TRIREDRAFT_109078	K05954
TRIREDRAFT_109086	K13507
TRIREDRAFT_109088	K11585
TRIREDRAFT_109122	K16261
TRIREDRAFT_109178	K12842
TRIREDRAFT_109187	K00814
TRIREDRAFT_109234	K01266
TRIREDRAFT_109278	K01185
TRIREDRAFT_109349	K06123
TRIREDRAFT_109378	K01426
TRIREDRAFT_109385	K22384
TRIREDRAFT_109397	K04794
TRIREDRAFT_109431	K22611
TRIREDRAFT_109435	K02269
TRIREDRAFT_109443	K14844
TRIREDRAFT_109457	K03139
TRIREDRAFT_109479	K12606
TRIREDRAFT_109492	K26678
TRIREDRAFT_109526	K19001
TRIREDRAFT_109531	K01514
TRIREDRAFT_109536	K14776
TRIREDRAFT_109560	K14325
TRIREDRAFT_109602	K00777
TRIREDRAFT_109619	K21751
TRIREDRAFT_109639	K12849
TRIREDRAFT_109652	K04709
TRIREDRAFT_109673	K01684
TRIREDRAFT_109677	K08141
TRIREDRAFT_109687	K09484
TRIREDRAFT_109708	K23543
TRIREDRAFT_109722	K17794
TRIREDRAFT_109724	K00859
TRIREDRAFT_109787	K27385
TRIREDRAFT_109797	K05609
TRIREDRAFT_109833	K03019
TRIREDRAFT_109837	K24175
TRIREDRAFT_109870	K22909
TRIREDRAFT_109876	K14758
TRIREDRAFT_109895	K03544
TRIREDRAFT_109908	K20828
TRIREDRAFT_109952	K21440
TRIREDRAFT_109998	K00799
TRIREDRAFT_110040	K01613
TRIREDRAFT_110133	K15111
TRIREDRAFT_110158	K12389
TRIREDRAFT_110170	K00015
TRIREDRAFT_110171	K01251
TRIREDRAFT_110293	K18447
TRIREDRAFT_110295	K02954
TRIREDRAFT_110317	K01183
TRIREDRAFT_110362	K02332
TRIREDRAFT_110396	K17777
TRIREDRAFT_110406	K13239
TRIREDRAFT_110409	K14767
TRIREDRAFT_110414	K13524
TRIREDRAFT_110423	K12581
TRIREDRAFT_110424	K18624
TRIREDRAFT_110444	K14834
TRIREDRAFT_110487	K13210
TRIREDRAFT_110491	K19029
TRIREDRAFT_110496	K15903
TRIREDRAFT_110499	K05658
TRIREDRAFT_110507	K11676
TRIREDRAFT_110509	K11595
TRIREDRAFT_110525	K19828
TRIREDRAFT_110535	K08741
TRIREDRAFT_110550	K24726
TRIREDRAFT_110586	K14571
TRIREDRAFT_110628	K25304
TRIREDRAFT_110631	K03858
TRIREDRAFT_110636	K12881
TRIREDRAFT_110663	K01904
TRIREDRAFT_110678	K00793
TRIREDRAFT_110753	K20989
TRIREDRAFT_110813	K16261
TRIREDRAFT_110826	K26405
TRIREDRAFT_110853	K00799
TRIREDRAFT_110882	K20098
TRIREDRAFT_110890	K01749
TRIREDRAFT_110893	K23504
TRIREDRAFT_110894	K18579
TRIREDRAFT_110899	K01465
TRIREDRAFT_110910	K18637
TRIREDRAFT_110931	K10845
TRIREDRAFT_110960	K07827
TRIREDRAFT_110974	K25866
TRIREDRAFT_111022	K14960
TRIREDRAFT_111023	K14818
TRIREDRAFT_111033	K03952
TRIREDRAFT_111053	K11369
TRIREDRAFT_111058	K15303
TRIREDRAFT_111074	K00965
TRIREDRAFT_111085	K07511
TRIREDRAFT_111102	K01771
TRIREDRAFT_111131	K03239
TRIREDRAFT_111138	K15923
TRIREDRAFT_111176	K22763
TRIREDRAFT_111194	K03978
TRIREDRAFT_111216	K11419
TRIREDRAFT_111226	K14530
TRIREDRAFT_111351	K02858
TRIREDRAFT_111357	K00306
TRIREDRAFT_111468	K17260
TRIREDRAFT_111502	K03963
TRIREDRAFT_111536	K20457
TRIREDRAFT_111564	K07560
TRIREDRAFT_111591	K14263
TRIREDRAFT_111600	K12386
TRIREDRAFT_111610	K13124
TRIREDRAFT_111644	K14795
TRIREDRAFT_111694	K01273
TRIREDRAFT_111724	K02575
TRIREDRAFT_111774	K06679
TRIREDRAFT_111787	K17675
TRIREDRAFT_111788	K08515
TRIREDRAFT_111799	K13303
TRIREDRAFT_111838	K01279
TRIREDRAFT_111890	K14640
TRIREDRAFT_111912	K01673
TRIREDRAFT_111922	K11826
TRIREDRAFT_111927	K12274
TRIREDRAFT_111953	K01230
TRIREDRAFT_112126	K00140
TRIREDRAFT_112140	K01213
TRIREDRAFT_112190	K16466
TRIREDRAFT_112211	K12571
TRIREDRAFT_112230	K07443
TRIREDRAFT_112233	K10882
TRIREDRAFT_112247	K00052
TRIREDRAFT_112271	K00698
TRIREDRAFT_112283	K10427
TRIREDRAFT_112292	K14570
TRIREDRAFT_112330	K07734
TRIREDRAFT_112346	K11365
TRIREDRAFT_112371	K00942
TRIREDRAFT_112384	K14811
TRIREDRAFT_112392	K01181
TRIREDRAFT_112413	K10844
TRIREDRAFT_112439	K21631
TRIREDRAFT_112441	K20298
TRIREDRAFT_112460	K00624
TRIREDRAFT_112463	K02541
TRIREDRAFT_112470	K15222
TRIREDRAFT_112519	K06018
TRIREDRAFT_112554	K11684
TRIREDRAFT_112556	K14546
TRIREDRAFT_112564	K22503
TRIREDRAFT_112633	K07393
TRIREDRAFT_119530	K03026
TRIREDRAFT_119548	K02180
TRIREDRAFT_119551	K15084
TRIREDRAFT_119554	K14797
TRIREDRAFT_119578	K20369
TRIREDRAFT_119592	K01537
TRIREDRAFT_119593	K17292
TRIREDRAFT_119600	K12666
TRIREDRAFT_119603	K08964
TRIREDRAFT_119609	K01626
TRIREDRAFT_119614	K19800
TRIREDRAFT_119616	K22008
TRIREDRAFT_119623	K06176
TRIREDRAFT_119626	K02957
TRIREDRAFT_119638	K24962
TRIREDRAFT_119658	K14405
TRIREDRAFT_119664	K11835
TRIREDRAFT_119679	K07359
TRIREDRAFT_119681	K20047
TRIREDRAFT_119695	K10669
TRIREDRAFT_119697	K11240
TRIREDRAFT_119707	K20526
TRIREDRAFT_119710	K28027
TRIREDRAFT_119721	K11984
TRIREDRAFT_119723	K15296
TRIREDRAFT_119724	K17553
TRIREDRAFT_119731	K04077
TRIREDRAFT_119735	K00134
TRIREDRAFT_119739	K25059
TRIREDRAFT_119742	K14005
TRIREDRAFT_119749	K03105
TRIREDRAFT_119757	K13091
TRIREDRAFT_119762	K12472
TRIREDRAFT_119767	K17262
TRIREDRAFT_119788	K00290
TRIREDRAFT_119789	K08192
TRIREDRAFT_119790	K00469
TRIREDRAFT_119800	K23362
TRIREDRAFT_119803	K21989
TRIREDRAFT_119816	K21989
TRIREDRAFT_119819	K07297
TRIREDRAFT_119830	K10401
TRIREDRAFT_119839	K06035
TRIREDRAFT_119845	K15117
TRIREDRAFT_119848	K12874
TRIREDRAFT_119854	K18083
TRIREDRAFT_119855	K02985
TRIREDRAFT_119859	K01183
TRIREDRAFT_119871	K04513
TRIREDRAFT_119879	K23460
TRIREDRAFT_119890	K09584
TRIREDRAFT_119896	K00029
TRIREDRAFT_119898	K14539
TRIREDRAFT_119903	K13989
TRIREDRAFT_119924	K09562
TRIREDRAFT_119931	K10246
TRIREDRAFT_119943	K08596
TRIREDRAFT_119954	K01698
TRIREDRAFT_119983	K10881
TRIREDRAFT_119991	K13127
TRIREDRAFT_120012	K02896
TRIREDRAFT_120020	K02922
TRIREDRAFT_120044	K17255
TRIREDRAFT_120051	K03107
TRIREDRAFT_120053	K04043
TRIREDRAFT_120064	K17679
TRIREDRAFT_120067	K14022
TRIREDRAFT_120070	K19476
TRIREDRAFT_120075	K10573
TRIREDRAFT_120079	K00626
TRIREDRAFT_120081	K07562
TRIREDRAFT_120088	K01893
TRIREDRAFT_120106	K01823
TRIREDRAFT_120117	K09467
TRIREDRAFT_120127	K09184
TRIREDRAFT_120143	K03686
TRIREDRAFT_120144	K09528
TRIREDRAFT_120147	K06072
TRIREDRAFT_120150	K07827
TRIREDRAFT_120152	K15436
TRIREDRAFT_120153	K03028
TRIREDRAFT_120154	K00327
TRIREDRAFT_120156	K27804
TRIREDRAFT_120172	K15449
TRIREDRAFT_120173	K17770
TRIREDRAFT_120176	K00456
TRIREDRAFT_120184	K08516
TRIREDRAFT_120195	K00275
TRIREDRAFT_120198	K00688
TRIREDRAFT_120219	K01850
TRIREDRAFT_120223	K27898
TRIREDRAFT_120228	K09245
TRIREDRAFT_120229	K01181
TRIREDRAFT_120235	K03234
TRIREDRAFT_120236	K24965
TRIREDRAFT_120260	K02896
TRIREDRAFT_120267	K01807
TRIREDRAFT_120272	K03885
TRIREDRAFT_120288	K16066
TRIREDRAFT_120294	K11094
TRIREDRAFT_120300	K03522
TRIREDRAFT_120312	K01179
TRIREDRAFT_120313	K17973
TRIREDRAFT_120332	K17983
TRIREDRAFT_120337	K11548
TRIREDRAFT_120371	K03781
TRIREDRAFT_120376	K11886
TRIREDRAFT_120378	K00030
TRIREDRAFT_120384	K14855
TRIREDRAFT_120388	K20307
TRIREDRAFT_120394	K09493
TRIREDRAFT_120402	K06047
TRIREDRAFT_120404	K11121
TRIREDRAFT_120412	K12486
TRIREDRAFT_120414	K20523
TRIREDRAFT_120424	K01759
TRIREDRAFT_120447	K06662
TRIREDRAFT_120473	K09699
TRIREDRAFT_120482	K20705
TRIREDRAFT_120486	K04802
TRIREDRAFT_120498	K17605
TRIREDRAFT_120510	K02179
TRIREDRAFT_120534	K17275
TRIREDRAFT_120539	K00939
TRIREDRAFT_120540	K02973
TRIREDRAFT_120545	K04354
TRIREDRAFT_120556	K15118
TRIREDRAFT_120566	K14457
TRIREDRAFT_120568	K01689
TRIREDRAFT_120570	K15325
TRIREDRAFT_120571	K11884
TRIREDRAFT_120605	K12767
TRIREDRAFT_120607	K03251
TRIREDRAFT_120618	K15156
TRIREDRAFT_120621	K02917
TRIREDRAFT_120627	K05853
TRIREDRAFT_120635	K00615
TRIREDRAFT_120646	K00797
TRIREDRAFT_120648	K00477
TRIREDRAFT_120650	K02730
TRIREDRAFT_120661	K12394
TRIREDRAFT_120675	K15428
TRIREDRAFT_120676	K01194
TRIREDRAFT_120712	K09458
TRIREDRAFT_120722	K06269
TRIREDRAFT_120730	K17656
TRIREDRAFT_120733	K17781
TRIREDRAFT_120737	K11303
TRIREDRAFT_120752	K24976
TRIREDRAFT_120753	K10843
TRIREDRAFT_120765	K07511
TRIREDRAFT_120779	K02995
TRIREDRAFT_120781	K02991
TRIREDRAFT_120784	K01785
TRIREDRAFT_120786	K01640
TRIREDRAFT_120789	K07374
TRIREDRAFT_120805	K12609
TRIREDRAFT_120807	K07151
TRIREDRAFT_120813	K21768
TRIREDRAFT_120828	K18176
TRIREDRAFT_120830	K07374
TRIREDRAFT_120833	K02958
TRIREDRAFT_120864	K14556
TRIREDRAFT_120868	K02953
TRIREDRAFT_120884	K00601
TRIREDRAFT_120893	K26118
TRIREDRAFT_120897	K03507
TRIREDRAFT_120899	K17822
TRIREDRAFT_120911	K18107
TRIREDRAFT_120922	K03671
TRIREDRAFT_120923	K22721
TRIREDRAFT_120940	K12191
TRIREDRAFT_120943	K15371
TRIREDRAFT_120952	K00764
TRIREDRAFT_120961	K19356
TRIREDRAFT_120968	K04569
TRIREDRAFT_120978	K02915
TRIREDRAFT_120983	K00761
TRIREDRAFT_120994	K09495
TRIREDRAFT_120998	K13289
TRIREDRAFT_121000	K01867
TRIREDRAFT_121003	K02964
TRIREDRAFT_121009	K02737
TRIREDRAFT_121019	K00234
TRIREDRAFT_121023	K03242
TRIREDRAFT_121028	K06630
TRIREDRAFT_121031	K01873
TRIREDRAFT_121048	K10688
TRIREDRAFT_121051	K01892
TRIREDRAFT_121061	K06641
TRIREDRAFT_121068	K17497
TRIREDRAFT_121073	K12821
TRIREDRAFT_121080	K08065
TRIREDRAFT_121095	K24940
TRIREDRAFT_121127	K15920
TRIREDRAFT_121139	K03293
TRIREDRAFT_121143	K01889
TRIREDRAFT_121154	K01426
TRIREDRAFT_121156	K00276
TRIREDRAFT_121158	K08832
TRIREDRAFT_121166	K00559
TRIREDRAFT_121169	K12197
TRIREDRAFT_121171	K10998
TRIREDRAFT_121191	K00621
TRIREDRAFT_121206	K03372
TRIREDRAFT_121219	K02867
TRIREDRAFT_121223	K07901
TRIREDRAFT_121227	K00729
TRIREDRAFT_121230	K00511
TRIREDRAFT_121238	K11843
TRIREDRAFT_121240	K22315
TRIREDRAFT_121247	K21842
TRIREDRAFT_121248	K07556
TRIREDRAFT_121255	K01720
TRIREDRAFT_121262	K17665
TRIREDRAFT_121275	K02266
TRIREDRAFT_121276	K20040
TRIREDRAFT_121278	K02889
TRIREDRAFT_121297	K13120
TRIREDRAFT_121298	K00122
TRIREDRAFT_121325	K22762
TRIREDRAFT_121338	K11376
TRIREDRAFT_121343	K02725
TRIREDRAFT_121345	K00831
TRIREDRAFT_121349	K20168
TRIREDRAFT_121351	K05546
TRIREDRAFT_121362	K05019
TRIREDRAFT_121363	K18723
TRIREDRAFT_121367	K02145
TRIREDRAFT_121372	K02923
TRIREDRAFT_121374	K00869
TRIREDRAFT_121381	K15083
TRIREDRAFT_121397	K10956
TRIREDRAFT_121405	K13524
TRIREDRAFT_121408	K02899
TRIREDRAFT_121411	K16833
TRIREDRAFT_121420	K01885
TRIREDRAFT_121436	K03217
TRIREDRAFT_121445	K12795
TRIREDRAFT_121449	K01693
TRIREDRAFT_121464	K02437
TRIREDRAFT_121468	K11086
TRIREDRAFT_121469	K02926
TRIREDRAFT_121491	K22248
TRIREDRAFT_121495	K01336
TRIREDRAFT_121498	K01613
TRIREDRAFT_121504	K05289
TRIREDRAFT_121506	K10875
TRIREDRAFT_121516	K11252
TRIREDRAFT_121522	K11251
TRIREDRAFT_121529	K15113
TRIREDRAFT_121533	K18587
TRIREDRAFT_121534	K01568
TRIREDRAFT_121539	K04371
TRIREDRAFT_121544	K00670
TRIREDRAFT_121546	K00679
TRIREDRAFT_121550	K17103
TRIREDRAFT_121569	K03240
TRIREDRAFT_121573	K02684
TRIREDRAFT_121582	K02967
TRIREDRAFT_121588	K12392
TRIREDRAFT_121606	K11493
TRIREDRAFT_121608	K08192
TRIREDRAFT_121610	K07203
TRIREDRAFT_121620	K18278
TRIREDRAFT_121652	K20184
TRIREDRAFT_121654	K14557
TRIREDRAFT_121656	K18716
TRIREDRAFT_121661	K01785
TRIREDRAFT_121664	K01580
TRIREDRAFT_121684	K08794
TRIREDRAFT_121686	K00600
TRIREDRAFT_121706	K01626
TRIREDRAFT_121725	K12839
TRIREDRAFT_121733	K00222
TRIREDRAFT_121735	K05349
TRIREDRAFT_121741	K02993
TRIREDRAFT_121743	K15100
TRIREDRAFT_121746	K01210
TRIREDRAFT_121754	K09540
TRIREDRAFT_121757	K09191
TRIREDRAFT_121766	K13199
TRIREDRAFT_121786	K26109
TRIREDRAFT_121789	K01803
TRIREDRAFT_121800	K17286
TRIREDRAFT_121801	K14565
TRIREDRAFT_121814	K00830
TRIREDRAFT_121820	K00549
TRIREDRAFT_121824	K01648
TRIREDRAFT_121826	K01648
TRIREDRAFT_121834	K05863
TRIREDRAFT_121837	K02989
TRIREDRAFT_121856	K00457
TRIREDRAFT_121870	K20059
TRIREDRAFT_121878	K02966
TRIREDRAFT_121889	K23787
TRIREDRAFT_121890	K01412
TRIREDRAFT_121901	K03252
TRIREDRAFT_121903	K22072
TRIREDRAFT_121904	K02937
TRIREDRAFT_121906	K02955
TRIREDRAFT_121920	K03849
TRIREDRAFT_121940	K06666
TRIREDRAFT_121942	K15015
TRIREDRAFT_121948	K12946
TRIREDRAFT_121950	K03868
TRIREDRAFT_121955	K14568
TRIREDRAFT_121966	K05236
TRIREDRAFT_121975	K12471
TRIREDRAFT_121977	K01802
TRIREDRAFT_121981	K03030
TRIREDRAFT_121986	K08192
TRIREDRAFT_122001	K02894
TRIREDRAFT_122015	K13303
TRIREDRAFT_122036	K02981
TRIREDRAFT_122040	K02910
TRIREDRAFT_122043	K17686
TRIREDRAFT_122048	K09481
TRIREDRAFT_122050	K15731
TRIREDRAFT_122064	K10356
TRIREDRAFT_122070	K12816
TRIREDRAFT_122071	K20368
TRIREDRAFT_122074	K00486
TRIREDRAFT_122081	K19357
TRIREDRAFT_122083	K05994
TRIREDRAFT_122091	K14674
TRIREDRAFT_122104	K23887
TRIREDRAFT_122110	K01904
TRIREDRAFT_122131	K00573
TRIREDRAFT_122141	K02900
TRIREDRAFT_122144	K06677
TRIREDRAFT_122166	K09831
TRIREDRAFT_122172	K00698
TRIREDRAFT_122175	K14861
TRIREDRAFT_122180	K11982
TRIREDRAFT_122193	K08333
TRIREDRAFT_122199	K16944
TRIREDRAFT_122208	K21451
TRIREDRAFT_122210	K02986
TRIREDRAFT_122226	K01956
TRIREDRAFT_122233	K00052
TRIREDRAFT_122240	K00624
TRIREDRAFT_122275	K01889
TRIREDRAFT_122278	K11806
TRIREDRAFT_122287	K00264
TRIREDRAFT_122296	K01647
TRIREDRAFT_122301	K17069
TRIREDRAFT_122349	K11361
TRIREDRAFT_122350	K01580
TRIREDRAFT_122378	K12585
TRIREDRAFT_122384	K14294
TRIREDRAFT_122385	K00820
TRIREDRAFT_122392	K10755
TRIREDRAFT_122396	K14015
TRIREDRAFT_122405	K11872
TRIREDRAFT_122410	K19984
TRIREDRAFT_122415	K09580
TRIREDRAFT_122419	K20279
TRIREDRAFT_122431	K13337
TRIREDRAFT_122447	K10873
TRIREDRAFT_122455	K23879
TRIREDRAFT_122457	K03627
TRIREDRAFT_122476	K08339
TRIREDRAFT_122495	K08257
TRIREDRAFT_122499	K05307
TRIREDRAFT_122529	K05986
TRIREDRAFT_122531	K00133
TRIREDRAFT_122546	K12182
TRIREDRAFT_122551	K00966
TRIREDRAFT_122552	K10418
TRIREDRAFT_122565	K01738
TRIREDRAFT_122572	K03283
TRIREDRAFT_122582	K18123
TRIREDRAFT_122584	K14521
TRIREDRAFT_122587	K02949
TRIREDRAFT_122592	K21797
TRIREDRAFT_122593	K07888
TRIREDRAFT_122641	K00763
TRIREDRAFT_122644	K00993
TRIREDRAFT_122653	K00801
TRIREDRAFT_122659	K14548
TRIREDRAFT_122680	K19487
TRIREDRAFT_122684	K03122
TRIREDRAFT_122689	K24737
TRIREDRAFT_122697	K02919
TRIREDRAFT_122701	K11400
TRIREDRAFT_122703	K17732
TRIREDRAFT_122708	K20299
TRIREDRAFT_122717	K08770
TRIREDRAFT_122735	K08793
TRIREDRAFT_122736	K01624
TRIREDRAFT_122743	K10364
