transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
56467	56467	KOG0752	Mitochondrial solute carrier protein	Energy production and conversion 	METABOLISM
53125	53125	KOG0770	Predicted mitochondrial carrier protein	Energy production and conversion 	METABOLISM
56469	56469	KOG1181	FOG: Low-complexity	Function unknown 	POORLY CHARACTERIZED
63687	63687	KOG0504	FOG: Ankyrin repeat	General function prediction only 	POORLY CHARACTERIZED
60345	60345	KOG2307	Low density lipoprotein receptor	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
60346	60346	KOG1224	Para-aminobenzoate (PABA) synthase ABZ1	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
60349	60349	KOG3691	Exocyst complex subunit Sec8	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
79334	79334	KOG0534	NADH-cytochrome b-5 reductase	Energy production and conversion 	METABOLISM
79334	79334	KOG0534	NADH-cytochrome b-5 reductase	Coenzyme transport and metabolism 	METABOLISM
50583	50583	KOG3968	Atrazine chlorohydrolase/guanine deaminase	Nucleotide transport and metabolism 	METABOLISM
50583	50583	KOG3968	Atrazine chlorohydrolase/guanine deaminase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
4744	4744	KOG2772	Transaldolase	Carbohydrate transport and metabolism 	METABOLISM
59011	59011	KOG1149	Glutamyl-tRNA synthetase (mitochondrial)	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
69574	69574	KOG2504	Monocarboxylate transporter	Carbohydrate transport and metabolism 	METABOLISM
4748	4748	KOG1721	FOG: Zn-finger	General function prediction only 	POORLY CHARACTERIZED
59014	59014	KOG0065	Pleiotropic drug resistance proteins (PDR1-15), ABC superfamily	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
108458	108458	KOG0845	Nuclear pore complex, Nup98 component (sc Nup145/Nup100/Nup116)	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
108458	108458	KOG0845	Nuclear pore complex, Nup98 component (sc Nup145/Nup100/Nup116)	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
108459	108459	KOG0370	Multifunctional pyrimidine synthesis protein CAD (includes carbamoyl-phophate synthetase, aspartate transcarbamylase, and glutamine amidotransferase)	General function prediction only 	POORLY CHARACTERIZED
76795	76795	KOG0007	Splicing factor 3a, subunit 1	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
80672	80672	KOG1485	Mitochondrial Fe2+ transporter MMT1 and related transporters (cation diffusion facilitator superfamily)	Inorganic ion transport and metabolism 	METABOLISM
122897	122897	KOG3149	Transcription initiation factor IIF, auxiliary subunit	Transcription 	INFORMATION STORAGE AND PROCESSING
2068	2068	KOG0255	Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)	General function prediction only 	POORLY CHARACTERIZED
56470	56470	KOG0068	D-3-phosphoglycerate dehydrogenase, D-isomer-specific 2-hydroxy acid dehydrogenase superfamily	Amino acid transport and metabolism 	METABOLISM
55814	55814	KOG0927	Predicted transporter (ABC superfamily)	General function prediction only 	POORLY CHARACTERIZED
102572	102572	KOG3258	Parvulin-like peptidyl-prolyl cis-trans isomerase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
55818	55818	KOG2306	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
38833	38833	KOG2901	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
63692	63692	KOG1516	Carboxylesterase and related proteins	General function prediction only 	POORLY CHARACTERIZED
53133	53133	KOG4197	FOG: PPR repeat	General function prediction only 	POORLY CHARACTERIZED
60352	60352	KOG2495	NADH-dehydrogenase (ubiquinone)	Energy production and conversion 	METABOLISM
102579	102579	KOG0978	E3 ubiquitin ligase involved in syntaxin degradation	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
43371	43371	KOG3544	Collagens (type IV and type XIII), and related proteins	Extracellular structures 	CELLULAR PROCESSES AND SIGNALING
50593	50593	KOG4419	5' nucleotidase	Nucleotide transport and metabolism 	METABOLISM
79345	79345	KOG1944	Peroxisomal membrane protein MPV17 and related proteins	General function prediction only 	POORLY CHARACTERIZED
36159	36159	KOG3056	Protein required for S-phase initiation or completion	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
4751	4751	KOG3519	Invasion-inducing protein TIAM1/CDC24 and related RhoGEF GTPases	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
23050	23050	KOG1782	Small Nuclear ribonucleoprotein splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
122103	122103	KOG3351	Predicted nucleotidyltransferase	General function prediction only 	POORLY CHARACTERIZED
122104	122104	KOG1292	Xanthine/uracil transporters	Nucleotide transport and metabolism 	METABOLISM
107805	107805	KOG2094	Predicted DNA damage inducible protein	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
68924	68924	KOG1269	SAM-dependent methyltransferases	Lipid transport and metabolism 	METABOLISM
68924	68924	KOG1269	SAM-dependent methyltransferases	General function prediction only 	POORLY CHARACTERIZED
68925	68925	KOG0255	Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)	General function prediction only 	POORLY CHARACTERIZED
72800	72800	KOG1187	Serine/threonine protein kinase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
68926	68926	KOG3565	Cdc42-interacting protein CIP4	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
59023	59023	KOG0876	Manganese superoxide dismutase	Inorganic ion transport and metabolism 	METABOLISM
76009	76009	KOG1940	Zn-finger protein	General function prediction only 	POORLY CHARACTERIZED
112342	112342	KOG1721	FOG: Zn-finger	General function prediction only 	POORLY CHARACTERIZED
30274	30274	KOG3117	Protein involved in rRNA processing	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
23059	23059	KOG3401	60S ribosomal protein L26	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
112346	112346	KOG4140	Nuclear protein Ataxin-7	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
102581	102581	KOG0011	Nucleotide excision repair factor NEF2, RAD23 component	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
76010	76010	KOG0183	20S proteasome, regulatory subunit alpha type PSMA7/PRE6	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
122110	122110	KOG1176	Acyl-CoA synthetase	Lipid transport and metabolism 	METABOLISM
22402	22402	KOG1558	Fe2+/Zn2+ regulated transporter	Inorganic ion transport and metabolism 	METABOLISM
76013	76013	KOG1232	Proteins containing the FAD binding domain	Energy production and conversion 	METABOLISM
107814	107814	KOG2739	Leucine-rich acidic nuclear protein	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
107814	107814	KOG2739	Leucine-rich acidic nuclear protein	General function prediction only 	POORLY CHARACTERIZED
79359	79359	KOG1854	Mitochondrial inner membrane protein (mitofilin)	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
23063	23063	KOG3229	Vacuolar sorting protein VPS24	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
76018	76018	KOG1481	Cysteine synthase	Amino acid transport and metabolism 	METABOLISM
4767	4767	KOG2900	Biotin synthase	Coenzyme transport and metabolism 	METABOLISM
108476	108476	KOG3753	Circadian clock protein period	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
108477	108477	KOG0471	Alpha-amylase	Carbohydrate transport and metabolism 	METABOLISM
108479	108479	KOG3958	Putative dynamitin	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
66256	66256	KOG1208	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
80691	80691	KOG2585	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
2087	2087	KOG1613	Exosomal 3'-5' exoribonuclease complex, subunit Rrp43	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
2089	2089	KOG1213	Sister chromatid cohesion complex Cohesin, subunit RAD21/SCC1	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
80695	80695	KOG0056	Heavy metal exporter HMT1, ABC superfamily	Inorganic ion transport and metabolism 	METABOLISM
55837	55837	KOG1712	Adenine phosphoribosyl transferases	Nucleotide transport and metabolism 	METABOLISM
55838	55838	KOG2992	Nucleolar GTPase/ATPase p130	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
102593	102593	KOG4548	Mitochondrial ribosomal protein L17	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
70139	70139	KOG0748	Predicted membrane proteins, contain hemolysin III domain	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
70139	70139	KOG0748	Predicted membrane proteins, contain hemolysin III domain	General function prediction only 	POORLY CHARACTERIZED
56499	56499	KOG3798	Predicted Zn-dependent hydrolase (beta-lactamase superfamily)	General function prediction only 	POORLY CHARACTERIZED
60374	60374	KOG1238	Glucose dehydrogenase/choline dehydrogenase/mandelonitrile lyase (GMC oxidoreductase family)	General function prediction only 	POORLY CHARACTERIZED
43392	43392	KOG1226	Integrin beta subunit (N-terminal portion of extracellular region)	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
43392	43392	KOG1226	Integrin beta subunit (N-terminal portion of extracellular region)	Extracellular structures 	CELLULAR PROCESSES AND SIGNALING
60378	60378	KOG0743	AAA+-type ATPase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
40053	40053	KOG0845	Nuclear pore complex, Nup98 component (sc Nup145/Nup100/Nup116)	Nuclear structure 	CELLULAR PROCESSES AND SIGNALING
40053	40053	KOG0845	Nuclear pore complex, Nup98 component (sc Nup145/Nup100/Nup116)	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
68941	68941	KOG0406	Glutathione S-transferase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
23070	23070	KOG1616	Protein involved in Snf1 protein kinase complex assembly	Carbohydrate transport and metabolism 	METABOLISM
108481	108481	KOG4620	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
122124	122124	KOG0742	AAA+-type ATPase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
22415	22415	KOG1594	Uncharacterized enzymes related to aldose 1-epimerase	Carbohydrate transport and metabolism 	METABOLISM
4774	4774	KOG0254	Predicted transporter (major facilitator superfamily)	General function prediction only 	POORLY CHARACTERIZED
108482	108482	KOG1535	Predicted fumarylacetoacetate hydralase	General function prediction only 	POORLY CHARACTERIZED
65603	65603	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
22417	22417	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
59042	59042	KOG4568	Cytoskeleton-associated protein and related proteins	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
59042	59042	KOG4568	Cytoskeleton-associated protein and related proteins	General function prediction only 	POORLY CHARACTERIZED
76029	76029	KOG1245	Chromatin remodeling complex WSTF-ISWI, large subunit (contains heterochromatin localization, PHD and BROMO domains)	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
2091	2091	KOG2440	Pyrophosphate-dependent phosphofructo-1-kinase	Carbohydrate transport and metabolism 	METABOLISM
65607	65607	KOG2101	Intermediate filament-like protein, sorting nexins, and related proteins containing PX (PhoX) domain(s)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
65607	65607	KOG2101	Intermediate filament-like protein, sorting nexins, and related proteins containing PX (PhoX) domain(s)	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
65607	65607	KOG2101	Intermediate filament-like protein, sorting nexins, and related proteins containing PX (PhoX) domain(s)	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
2095	2095	KOG0969	DNA polymerase delta, catalytic subunit	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
35522	35522	KOG1096	Adenosine monophosphate deaminase	Nucleotide transport and metabolism 	METABOLISM
53167	53167	KOG4529	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
53168	53168	KOG0156	Cytochrome P450 CYP2 subfamily	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
53169	53169	KOG0600	Cdc2-related protein kinase	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
79373	79373	KOG1712	Adenine phosphoribosyl transferases	Nucleotide transport and metabolism 	METABOLISM
122131	122131	KOG1661	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
76034	76034	KOG0143	Iron/ascorbate family oxidoreductases	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
76034	76034	KOG0143	Iron/ascorbate family oxidoreductases	General function prediction only 	POORLY CHARACTERIZED
107835	107835	KOG1515	Arylacetamide deacetylase	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
59050	59050	KOG4177	Ankyrin	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
22426	22426	KOG2741	Dimeric dihydrodiol dehydrogenase	Carbohydrate transport and metabolism 	METABOLISM
22426	22426	KOG2741	Dimeric dihydrodiol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
76037	76037	KOG4469	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
68956	68956	KOG3923	D-aspartate oxidase	Amino acid transport and metabolism 	METABOLISM
23083	23083	KOG2614	Kynurenine 3-monooxygenase and related flavoprotein monooxygenases	Energy production and conversion 	METABOLISM
23083	23083	KOG2614	Kynurenine 3-monooxygenase and related flavoprotein monooxygenases	General function prediction only 	POORLY CHARACTERIZED
66270	66270	KOG0963	Transcription factor/CCAAT displacement protein CDP1	Transcription 	INFORMATION STORAGE AND PROCESSING
59053	59053	KOG1097	Adenine deaminase/adenosine deaminase	Nucleotide transport and metabolism 	METABOLISM
65615	65615	KOG1099	SAM-dependent methyltransferase/cell division protein FtsJ	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
65615	65615	KOG1099	SAM-dependent methyltransferase/cell division protein FtsJ	General function prediction only 	POORLY CHARACTERIZED
122139	122139	KOG1039	Predicted E3 ubiquitin ligase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
112371	112371	KOG0707	Guanylate kinase	Nucleotide transport and metabolism 	METABOLISM
105154	105154	KOG0123	Polyadenylate-binding protein (RRM superfamily)	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
105154	105154	KOG0123	Polyadenylate-binding protein (RRM superfamily)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
111716	111716	KOG1502	Flavonol reductase/cinnamoyl-CoA reductase	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
23087	23087	KOG0161	Myosin class II heavy chain	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
59056	59056	KOG3016	Acyl-CoA thioesterase	Lipid transport and metabolism 	METABOLISM
105158	105158	KOG0672	Halotolerance protein HAL3 (contains flavoprotein domain)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
105158	105158	KOG0672	Halotolerance protein HAL3 (contains flavoprotein domain)	Inorganic ion transport and metabolism 	METABOLISM
55857	55857	KOG2215	Exocyst complex subunit	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
53172	53172	KOG2863	RNA lariat debranching enzyme	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
60392	60392	KOG3225	Mitochondrial import inner membrane translocase, subunit TIM22	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
42752	42752	KOG3627	Trypsin	Amino acid transport and metabolism 	METABOLISM
79381	79381	KOG2817	Predicted E3 ubiquitin ligase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
78726	78726	KOG1522	RNA polymerase II, subunit POLR2C/RPB3	Transcription 	INFORMATION STORAGE AND PROCESSING
82601	82601	KOG2455	Delta-1-pyrroline-5-carboxylate dehydrogenase	Amino acid transport and metabolism 	METABOLISM
122140	122140	KOG1878	Nuclear receptor coregulator SMRT/SMRTER, contains Myb-like domains	Transcription 	INFORMATION STORAGE AND PROCESSING
40074	40074	KOG1458	Fructose-1,6-bisphosphatase	Carbohydrate transport and metabolism 	METABOLISM
122141	122141	KOG1742	60s ribosomal protein L15/L27	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
107843	107843	KOG3575	FOG: Hormone receptors	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
23090	23090	KOG4169	15-hydroxyprostaglandin dehydrogenase and related dehydrogenases	Lipid transport and metabolism 	METABOLISM
23090	23090	KOG4169	15-hydroxyprostaglandin dehydrogenase and related dehydrogenases	General function prediction only 	POORLY CHARACTERIZED
82606	82606	KOG2970	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
122144	122144	KOG0414	Chromosome condensation complex Condensin, subunit D2	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
122144	122144	KOG0414	Chromosome condensation complex Condensin, subunit D2	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
107846	107846	KOG0730	AAA+-type ATPase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
58404	58404	KOG1590	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
58405	58405	KOG2202	U2 snRNP splicing factor, small subunit, and related proteins	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
68966	68966	KOG0672	Halotolerance protein HAL3 (contains flavoprotein domain)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
68966	68966	KOG0672	Halotolerance protein HAL3 (contains flavoprotein domain)	Inorganic ion transport and metabolism 	METABOLISM
65623	65623	KOG3498	Preprotein translocase, gamma subunit	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
59062	59062	KOG2401	Predicted MutS-related protein involved in mismatch repair	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
66280	66280	KOG1869	Splicing coactivator SRm160/300, subunit SRm300	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
111724	111724	KOG2533	Permease of the major facilitator superfamily	Carbohydrate transport and metabolism 	METABOLISM
65625	65625	KOG4096	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
59067	59067	KOG3802	Transcription factor OCT-1, contains POU and HOX domains	Transcription 	INFORMATION STORAGE AND PROCESSING
112384	112384	KOG0331	ATP-dependent RNA helicase	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
59068	59068	KOG2598	Phosphomethylpyrimidine kinase	Transcription 	INFORMATION STORAGE AND PROCESSING
59068	59068	KOG2598	Phosphomethylpyrimidine kinase	Coenzyme transport and metabolism 	METABOLISM
70161	70161	KOG0157	Cytochrome P450 CYP4/CYP19/CYP26 subfamilies	Lipid transport and metabolism 	METABOLISM
70161	70161	KOG0157	Cytochrome P450 CYP4/CYP19/CYP26 subfamilies	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
66286	66286	KOG0534	NADH-cytochrome b-5 reductase	Energy production and conversion 	METABOLISM
66286	66286	KOG0534	NADH-cytochrome b-5 reductase	Coenzyme transport and metabolism 	METABOLISM
52520	52520	KOG1674	Cyclin	General function prediction only 	POORLY CHARACTERIZED
52521	52521	KOG3299	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
55868	55868	KOG0372	Serine/threonine specific protein phosphatase involved in glycogen accumulation, PP2A-related	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
55868	55868	KOG0372	Serine/threonine specific protein phosphatase involved in glycogen accumulation, PP2A-related	Carbohydrate transport and metabolism 	METABOLISM
78732	78732	KOG0234	Fructose-6-phosphate 2-kinase/fructose-2,6-biphosphatase	Carbohydrate transport and metabolism 	METABOLISM
4004	4004	KOG0526	Nucleosome-binding factor SPN, POB3 subunit	Transcription 	INFORMATION STORAGE AND PROCESSING
4004	4004	KOG0526	Nucleosome-binding factor SPN, POB3 subunit	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
4004	4004	KOG0526	Nucleosome-binding factor SPN, POB3 subunit	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
76050	76050	KOG2648	Diphthamide biosynthesis protein	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
78738	78738	KOG4505	Na+/H+ antiporter	Inorganic ion transport and metabolism 	METABOLISM
82613	82613	KOG1668	Elongation factor 1 beta/delta chain	Transcription 	INFORMATION STORAGE AND PROCESSING
79395	79395	KOG1231	Proteins containing the FAD binding domain	Energy production and conversion 	METABOLISM
107852	107852	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
4009	4009	KOG1494	NAD-dependent malate dehydrogenase	Energy production and conversion 	METABOLISM
68972	68972	KOG4686	Predicted sugar transporter	Carbohydrate transport and metabolism 	METABOLISM
58412	58412	KOG0023	Alcohol dehydrogenase, class V	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
68973	68973	KOG1378	Purple acid phosphatase	Carbohydrate transport and metabolism 	METABOLISM
79398	79398	KOG1397	Ca2+/H+ antiporter VCX1 and related proteins	Inorganic ion transport and metabolism 	METABOLISM
59070	59070	KOG0735	AAA+-type ATPase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
104513	104513	KOG0800	FOG: Predicted E3 ubiquitin ligase	Posttranslational modification, protein turnover, chaperones 	CELLULAR PROCESSES AND SIGNALING
76057	76057	KOG1351	Vacuolar H+-ATPase V1 sector, subunit B	Energy production and conversion 	METABOLISM
82619	82619	KOG1706	Argininosuccinate synthase	Amino acid transport and metabolism 	METABOLISM
58418	58418	KOG1235	Predicted unusual protein kinase	General function prediction only 	POORLY CHARACTERIZED
105173	105173	KOG4369	RTK signaling protein MASK/UNC-44	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
66294	66294	KOG2178	Predicted sugar kinase	Carbohydrate transport and metabolism 	METABOLISM
66296	66296	KOG2267	Eukaryotic-type DNA primase, large subunit	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
55871	55871	KOG1208	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
70172	70172	KOG2504	Monocarboxylate transporter	Carbohydrate transport and metabolism 	METABOLISM
112399	112399	KOG1911	Heterochromatin-associated protein HP1 and related CHROMO domain proteins	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
52532	52532	KOG2398	Predicted proline-serine-threonine phosphatase-interacting protein (PSTPIP)	Cell cycle control, cell division, chromosome partitioning 	METABOLISM
45317	45317	KOG2466	Uridine permease/thiamine transporter/allantoin transport	Nucleotide transport and metabolism 	METABOLISM
45317	45317	KOG2466	Uridine permease/thiamine transporter/allantoin transport	Coenzyme transport and metabolism 	METABOLISM
52539	52539	KOG1001	Helicase-like transcription factor HLTF/DNA helicase RAD5, DEAD-box superfamily	Transcription 	INFORMATION STORAGE AND PROCESSING
52539	52539	KOG1001	Helicase-like transcription factor HLTF/DNA helicase RAD5, DEAD-box superfamily	Replication, recombination and repair 	INFORMATION STORAGE AND PROCESSING
78740	78740	KOG3385	V-SNARE	Intracellular trafficking, secretion, and vesicular transport 	CELLULAR PROCESSES AND SIGNALING
